"","state","state_code","state_name","county_code","county"
"1","AL","01","Alabama","001","Autauga County"
"2","AL","01","Alabama","003","Baldwin County"
"3","AL","01","Alabama","005","Barbour County"
"4","AL","01","Alabama","007","Bibb County"
"5","AL","01","Alabama","009","Blount County"
"6","AL","01","Alabama","011","Bullock County"
"7","AL","01","Alabama","013","Butler County"
"8","AL","01","Alabama","015","Calhoun County"
"9","AL","01","Alabama","017","Chambers County"
"10","AL","01","Alabama","019","Cherokee County"
"11","AL","01","Alabama","021","Chilton County"
"12","AL","01","Alabama","023","Choctaw County"
"13","AL","01","Alabama","025","Clarke County"
"14","AL","01","Alabama","027","Clay County"
"15","AL","01","Alabama","029","Cleburne County"
"16","AL","01","Alabama","031","Coffee County"
"17","AL","01","Alabama","033","Colbert County"
"18","AL","01","Alabama","035","Conecuh County"
"19","AL","01","Alabama","037","Coosa County"
"20","AL","01","Alabama","039","Covington County"
"21","AL","01","Alabama","041","Crenshaw County"
"22","AL","01","Alabama","043","Cullman County"
"23","AL","01","Alabama","045","Dale County"
"24","AL","01","Alabama","047","Dallas County"
"25","AL","01","Alabama","049","DeKalb County"
"26","AL","01","Alabama","051","Elmore County"
"27","AL","01","Alabama","053","Escambia County"
"28","AL","01","Alabama","055","Etowah County"
"29","AL","01","Alabama","057","Fayette County"
"30","AL","01","Alabama","059","Franklin County"
"31","AL","01","Alabama","061","Geneva County"
"32","AL","01","Alabama","063","Greene County"
"33","AL","01","Alabama","065","Hale County"
"34","AL","01","Alabama","067","Henry County"
"35","AL","01","Alabama","069","Houston County"
"36","AL","01","Alabama","071","Jackson County"
"37","AL","01","Alabama","073","Jefferson County"
"38","AL","01","Alabama","075","Lamar County"
"39","AL","01","Alabama","077","Lauderdale County"
"40","AL","01","Alabama","079","Lawrence County"
"41","AL","01","Alabama","081","Lee County"
"42","AL","01","Alabama","083","Limestone County"
"43","AL","01","Alabama","085","Lowndes County"
"44","AL","01","Alabama","087","Macon County"
"45","AL","01","Alabama","089","Madison County"
"46","AL","01","Alabama","091","Marengo County"
"47","AL","01","Alabama","093","Marion County"
"48","AL","01","Alabama","095","Marshall County"
"49","AL","01","Alabama","097","Mobile County"
"50","AL","01","Alabama","099","Monroe County"
"51","AL","01","Alabama","101","Montgomery County"
"52","AL","01","Alabama","103","Morgan County"
"53","AL","01","Alabama","105","Perry County"
"54","AL","01","Alabama","107","Pickens County"
"55","AL","01","Alabama","109","Pike County"
"56","AL","01","Alabama","111","Randolph County"
"57","AL","01","Alabama","113","Russell County"
"58","AL","01","Alabama","115","St. Clair County"
"59","AL","01","Alabama","117","Shelby County"
"60","AL","01","Alabama","119","Sumter County"
"61","AL","01","Alabama","121","Talladega County"
"62","AL","01","Alabama","123","Tallapoosa County"
"63","AL","01","Alabama","125","Tuscaloosa County"
"64","AL","01","Alabama","127","Walker County"
"65","AL","01","Alabama","129","Washington County"
"66","AL","01","Alabama","131","Wilcox County"
"67","AL","01","Alabama","133","Winston County"
"68","AK","02","Alaska","013","Aleutians East Borough"
"69","AK","02","Alaska","016","Aleutians West Census Area"
"70","AK","02","Alaska","020","Anchorage Municipality"
"71","AK","02","Alaska","050","Bethel Census Area"
"72","AK","02","Alaska","060","Bristol Bay Borough"
